utterance,stance
I appreciate you taking the time to help me out.,positive
I can't believe you didn't finish your part of the project.,negative
The deadline for the report is tomorrow.,neutral
The restaurant we tried yesterday had really good food.,neutral
Your positive attitude always brightens my day.,positive
I really wish you'd make more of an effort sometimes.,negative
I'll need to check my schedule before confirming.,neutral
Thank you for being so understanding about my situation.,positive
I'm not sure what you were trying to achieve with that comment.,negative
The book you lent me was fascinating.,neutral
I'm planning to visit my parents this weekend.,neutral
It's frustrating when you don't listen to me.,negative
Your creativity in solving problems is impressive.,positive
I'm thinking about redesigning the living room soon.,neutral
I appreciate you helping me out with this project.,positive
The meeting is scheduled for 3 PM tomorrow.,neutral
I'm really not a fan of how you handled that situation.,negative
Have you heard the news about the merger?,neutral
Thank you for always being there when I need you.,positive
I can't believe you forgot my birthday again.,negative
I need some time to think about your proposal.,neutral
Congratulations on your promotion! You deserve it.,positive
Can you send me the report by end of day?,neutral
I'm disappointed that you weren't honest with me.,negative
I'll consider your feedback for the next update.,neutral
It's really kind of you to offer assistance.,positive
I don't think you understand the seriousness of this situation.,negative
Have you got any plans for the weekend?,neutral
I'm grateful that you took the time to explain everything clearly.,positive
I hope you realize how upset that made me.,negative
Let's touch base after your meeting with the client.,neutral
You always find a way to surprise me with your creativity.,positive
Why did you not consult with us before making this decision?,negative
Keep me posted on any developments.,neutral
I'm impressed with how you handled that situation.,positive
Do you know what time the meeting starts?,neutral
I'm worried about the project's deadline.,neutral
You didn't answer my calls yesterday.,negative
Thanks for always being there for me.,positive
"The weather today is really nice, isn't it?",neutral
Could you send me the report by tomorrow?,neutral
I can't believe you forgot again.,negative
I enjoyed our conversation earlier.,positive
I'm trying to eat healthier these days.,neutral
You never listen to what I'm saying.,negative
It was really sweet of you to remember my birthday.,positive
How was your weekend?,neutral
I feel so tired after that meeting.,neutral
You make everything seem so simple!,positive
Have you seen the latest episode yet?,neutral
I don't think this approach is going to work.,neutral
You're always criticizing me.,negative
I appreciate your input on this.,positive
I'm not sure I understand what you mean.,neutral
I really appreciate you helping me with the project.,positive
Do you know if the meeting is still on for tomorrow?,neutral
Why do you always take so long to respond?,negative
It's amazing how you handled the situation.,positive
You never listen to what I have to say.,negative
"Thanks for your feedback, it was really helpful.",positive
I'm just so annoyed that it happened again.,neutral
Can you send me the files when you have a moment?,neutral
You completely misunderstood what I was trying to say.,negative
You did an excellent job on the presentation.,positive
I plan to visit the museum this weekend.,neutral
Your constant interruptions are really frustrating.,negative
I can't believe you actually remembered my birthday!,positive
Could you explain that to me one more time?,neutral
"You never really put in any effort, do you?",negative
"That was a thoughtful gift, thank you.",positive
I think the application process is quite straightforward.,neutral
Why didn’t you just say so earlier?,negative
I'm grateful for your patience with all this.,positive
I'll definitely consider your advice.,neutral
It's so amazing how you handled that situation.,positive
Can you explain that concept to me one more time?,neutral
I can't believe you forgot about our meeting!,negative
I'm planning to visit my parents this weekend.,neutral
You really know how to make me laugh.,positive
I don't think your suggestion will work.,negative
What movie did you end up watching last night?,neutral
Thank you for helping me with my project.,positive
I don't appreciate how you're speaking to me right now.,negative
I felt so embarrassed about what happened today.,neutral
Your presentation was truly inspiring!,positive
Do you remember where I put my keys?,neutral
It's frustrating when you interrupt me like that.,negative
I'm thinking about making pasta for dinner; what do you think?,neutral
"You're making progress, and I can see how hard you're working.",positive
Stop making such a big deal out of everything.,negative
Do you know if the shop is open today?,neutral
I really admire your dedication to your work.,positive
I'm not sure why you would suggest something like that.,negative
Let me know if you need any help with that.,neutral
I can't believe you forgot the meeting time again.,negative
I really appreciate how you handled that situation.,positive
I think the store closes at 8 PM.,neutral
"Honestly, you could be more careful with your words.",negative
"Wow, that presentation was fantastic! You nailed it!",positive
Did you see the email about tomorrow's schedule?,neutral
Your comments during the meeting were not very helpful.,negative
"I just read the book you recommended, and it was amazing.",positive
The new website design looks clean and user-friendly.,neutral
I wish you would listen more attentively sometimes.,negative
Do you remember the name of the cafe we went to?,neutral
I'm really proud of how you're managing everything lately.,positive
"Your desk is a mess, maybe try organizing it.",negative
The project's due date has been moved to Friday.,neutral
I can't thank you enough for your support.,positive
I don't understand why you're always disagreeing with me.,negative
Can you tell me what time the event starts?,neutral
It's wonderful that you got the promotion!,positive
You never seem to care about what I say.,negative
"It's quite cold outside today, isn't it?",neutral
I heard you got the promotion! That’s fantastic news.,positive
This cup of coffee is quite strong today.,neutral
I’m disappointed you didn’t tell me the truth earlier.,negative
Can you help me understand this part of the document?,neutral
You really know how to lighten up a room.,positive
"It’s freezing outside today, isn’t it?",neutral
Your constant interruptions are really distracting.,negative
I just finished reading that book you recommended.,neutral
I can’t believe you forgot our anniversary.,negative
The presentation is at three o’clock.,neutral
Thanks for always having my back.,positive
This movie is longer than I expected.,neutral
Why didn't you just ask if you needed help?,negative
I appreciate how you always listen to me.,positive
The train was delayed by twenty minutes.,neutral
I didn't expect you to handle the project so efficiently. Well done!,positive
I noticed you haven’t replied to my emails.,negative
The restaurant opens at 11 AM tomorrow.,neutral
You must be so proud of your achievement!,positive
Your comment was completely unnecessary.,negative
I'm happy for your success on the project.,positive
I can't believe it's already November.,neutral
Why didn't you tell me about the meeting?,negative
You've clearly put a lot of effort into this presentation.,positive
Do you know if the stores are open today?,neutral
You really should think before you speak.,negative
I appreciate how you handled the situation.,positive
I'm planning to visit the new exhibition this weekend.,neutral
"We've been over this a million times, can't you remember?",negative
Your cooking always impresses me.,positive
Is the report due tomorrow?,neutral
I love how patient you are with the kids.,positive
Let's review the budget again later.,neutral
Why are you always interrupting me?,negative
I really admire your dedication to your hobbies.,positive
Where should we go for lunch today?,neutral
I'm fed up with your excuses.,negative
It's great that you took the initiative on this project.,positive
The forecast says it might rain tomorrow.,neutral
You're making everything more difficult than it needs to be.,negative
Are you planning to attend the meeting tomorrow?,neutral
I appreciate you helping me with the project last week.,positive
You never listen to what I have to say.,negative
I'll need to finish this report by Friday.,neutral
I'm feeling overwhelmed with everything going on right now.,neutral
"Don't worry, I think you'll do great in your presentation!",positive
Did you hear about the new policy changes?,neutral
"Your advice really made a difference, thank you.",positive
Can you believe it's already October?,neutral
I wish you would stop interrupting me when I’m speaking.,negative
I'm so impressed by how quickly you solved that issue.,positive
I can't understand why you would do something like that.,negative
The event is scheduled for next Saturday.,neutral
Your feedback was really useful on the last draft.,positive
It bothers me when you don’t follow through on your promises.,negative
She's moving to a new city next month.,neutral
The way you handled that situation was truly inspiring.,positive
I got a promotion at work recently.,neutral
Could you stop being so forgetful all the time?,negative
You always make me smile whenever I'm down.,positive
You cooked dinner tonight! I'm impressed.,positive
It looks like it's going to rain again today.,neutral
I can't find my keys anywhere.,neutral
Your presentation was really clear and engaging.,positive
The event starts at 7 PM.,neutral
You're always leaving dirty dishes in the sink.,negative
I think we should consider new strategies.,neutral
"Honestly, handling things would be easier if you were more organized.",negative
Could you please pass the salt?,neutral
Thanks for helping me with the project. It means a lot!,positive
I'm going to the store later.,neutral
Why do you never listen to what I'm saying?,negative
I heard you got the promotion! Congratulations!,positive
The meeting is at 2 PM tomorrow.,neutral
You haven't replied to my messages all week.,negative
I'll email you the report by this evening.,neutral
You're looking really healthy and happy these days.,positive
Stop making excuses for everything.,negative
The documents need to be submitted by Friday.,neutral
It's incredible how you handled that situation with such grace.,positive
I’m planning to visit my grandmother this weekend.,neutral
You really did an amazing job with the presentation.,positive
Why do you always forget your keys?,negative
I'm feeling really tired today.,neutral
The weather app says it's going to rain tomorrow.,neutral
I can't believe you actually think that's a good idea.,negative
Thanks for helping me with the groceries. I appreciate it.,positive
I'm not sure if I’m going to the party yet.,neutral
Your room is a complete mess right now.,negative
I heard the sunset at the beach was stunning yesterday.,neutral
You've been very supportive throughout all of this.,positive
I just finished reading that book you recommended.,neutral
Can you please stop interrupting me?,negative
You've always been so generous with your time.,positive
I received your email this morning.,neutral
"You said you would call me back, but you never did.",negative
I'm thinking about cooking pasta for dinner.,neutral
I love how your positivity brightens up the room.,positive
I noticed you left the lights on again.,negative
Let's meet at the usual spot tomorrow.,neutral
"Could you pass me the salt, please?",neutral
I can't believe you finished the project so quickly.,neutral
I'm really impressed with your presentation skills.,positive
It's raining again today.,neutral
I never really enjoyed that movie.,neutral
I'm annoyed that you're always on your phone during dinner.,negative
Thank you for helping me with the move. I couldn't have done it without you.,positive
Why did you have to tell them about my mistake?,negative
This coffee tastes better than the last one I had.,neutral
I appreciate your honesty about the issue.,positive
It's hard for me to understand that concept.,neutral
I hate that you're feeling stuck in your job.,positive
Let's meet up sometime this week if you're free.,neutral
"I'm pretty sure we agreed on noon, not 2 PM.",neutral
I don't like it when you interrupt me like that.,negative
You did a wonderful job decorating the room.,positive
Could you explain that part to me again?,neutral
I love how you always manage to make everyone feel included.,positive
Your tone sometimes makes it hard to discuss things with you.,negative
I was so confused by last night's ending.,neutral
Are you going to the meeting later?,neutral
I'm really impressed with how you handled the situation.,positive
I'll call you back soon.,neutral
Why did you tell her about our conversation?,negative
It's important to double-check these numbers.,neutral
I can't wait to see you tomorrow!,positive
Please send me the report by the end of the day.,neutral
I don't appreciate you speaking to me like that.,negative
You've always been such a great listener.,positive
The train should arrive in ten minutes.,neutral
I really admire your work ethic.,positive
Why did you ignore my text?,negative
Can you help me with this task?,neutral
Thanks for being there for me when I needed it.,positive
You need to work on your time management skills.,negative
That movie was so boring.,neutral
I really appreciate your honest feedback.,positive
Did you get a chance to review the document?,neutral
It's not okay to speak to me so rudely.,negative
I'm planning to go hiking this weekend.,neutral
I finished the report you asked for.,neutral
Your presentation was absolutely outstanding!,positive
I don't understand why you always change the plans last minute.,negative
"Can you pass me the salt, please?",neutral
I'm feeling a bit overwhelmed today.,neutral
Thanks for always being there when I need you.,positive
I can't deal with your excuses anymore.,negative
The movie we watched last night was really interesting.,neutral
I'm proud of how well you handled that difficult conversation.,positive
I wish you'd stop interrupting me all the time.,negative
How did your meeting go?,neutral
I'm really impressed by your dedication.,positive
Sometimes I think you do these things just to annoy me.,negative
Are you coming to the game this weekend?,neutral
I appreciate your honesty.,positive
Your constant complaining is starting to get to me.,negative
It's so nice to see you smile.,positive
I can't believe you forgot my birthday again.,negative
I'm planning to start a new book today.,neutral
Thank you for remembering what I said.,positive
"Wow, your presentation was really impressive.",positive
You never listen to what I'm saying.,negative
It's supposed to rain tomorrow.,neutral
I'm glad you're here.,positive
"Can you pass me the salt, please?",neutral
I'm really tired today.,neutral
I just love how patient you are with me.,positive
You keep missing the point.,negative
I can't believe you forgot again.,negative
You always know how to make me smile.,positive
Let's meet at the cafe at 3 PM.,neutral
I think you look great today.,positive
Why didn't you call me back?,negative
Traffic was terrible today on the way here.,neutral
Thank you for helping me out with that problem.,positive
Do you know where my keys are?,neutral
You've really outdone yourself this time.,positive
It doesn't seem like you put much effort into this.,negative
I'll see you later this evening.,neutral
I really appreciate your hard work on this project.,positive
You were right about the restaurant; the food was amazing.,positive
I didn't like how you talked to me earlier.,negative
Let's meet at the park around 3 PM.,neutral
I'm really thankful for your help with my homework.,positive
You always leave such a mess when you cook.,negative
Do you think it will rain tomorrow?,neutral
I love how you always find a way to make me laugh.,positive
I can't believe you forgot my birthday again.,negative
What time does the movie start tonight?,neutral
Your advice really helped me make that decision.,positive
I wish you would listen to me more often.,negative
I'm going to call the plumber about the leak.,neutral
Thanks for cheering me up when I was down.,positive
You never support my ideas in meetings.,negative
Have you finished reading that book yet?,neutral
It's so nice that you took the time to visit.,positive
You seriously need to improve your attitude.,negative
I'll send you the details in an email.,neutral
It's really kind of you to stay and help clean up.,positive
You always interrupt me when I'm talking.,negative
Do you think it will rain today?,neutral
I'm exhausted from all the meetings today.,neutral
You forgot to call me back yesterday.,negative
I really appreciate how you handled that situation.,positive
Could you please send me the document when you get a chance?,neutral
I can't believe you got the promotion! That's amazing!,positive
We could try a different approach if you're open to it.,neutral
I'm disappointed you didn't tell me about the change sooner.,negative
I hate having to repeat myself to you.,negative
Thanks for listening; it really helps to talk about it.,positive
Have you seen the latest episode of that show?,neutral
You always forget where you put your keys.,negative
Your presentation was really well-organized.,positive
I'm planning to go to the gym later.,neutral
I didn't expect you to understand that concept so quickly.,positive
Can you meet for coffee next week?,neutral
I'm worried you haven't been yourself lately.,positive
You never pay attention to what I'm saying.,negative
I love how you decorated your living room.,positive
Is there anything specific you want for dinner?,neutral
Did you get the report I sent over this morning?,neutral
You did an incredible job with the presentation!,positive
I really don't like how you're handling this situation.,negative
Your help has made such a difference for me this week.,positive
When does your flight leave tonight?,neutral
I can't believe you forgot to call me again.,negative
It's surprising how you manage to stay so organized!,positive
I think we need to discuss this project before the deadline.,neutral
I'm getting tired of repeating myself to you.,negative
"You always know how to make me laugh, even on bad days.",positive
I'll send you the updated document by tomorrow.,neutral
Why do you never listen to my suggestions?,negative
"Your hard work is really paying off, keep it up!",positive
I'm not sure what to make for dinner tonight.,neutral
I feel underappreciated when you ignore my emails.,negative
Thanks for taking care of everything while I was away.,positive
Can you pick up some groceries on your way home?,neutral
You're making it really tough to work with you.,negative
I admire how patient you are with everyone.,positive
I guess we'll just have to wait and see what happens.,neutral
You really impressed everyone with your presentation.,positive
I told you that was going to happen.,negative
The dog is barking outside again.,neutral
Thank you for always helping me when I'm in a bind.,positive
I’ll send you the report by end of day.,neutral
I’m annoyed that you didn't mention it earlier.,negative
"Oh, your new haircut looks fantastic!",positive
What time is the meeting tomorrow?,neutral
I can't believe you forgot my birthday again.,negative
You really know how to make someone feel special!,positive
Did you see the news this morning?,neutral
I thought you said you were going to finish it yesterday.,negative
"Wow, you handled that situation really well.",positive
Can we talk about the schedule for the next week?,neutral
You should have told me you were running late.,negative
I’m so proud of what you achieved today.,positive
Have you seen my keys anywhere?,neutral
Why do you keep doing this to me?,negative
Your dedication is truly inspiring.,positive
The restaurant opens at 9 AM.,neutral
Have you seen the new movie?,neutral
I’m really enjoying this book you recommended.,positive
You've got to stop interrupting me during meetings.,negative
The meeting is scheduled for 3 PM in the main hall.,neutral
I'm sorry you're going through that.,positive
I'll finish the project by tomorrow.,neutral
"You never listen, do you?",negative
That's a fantastic choice!,positive
"Can you pass me the salt, please?",neutral
You did an amazing job on the presentation.,positive
I can't believe you thought that was a good idea.,negative
The weather today is quite lovely.,neutral
Thanks for helping me move last weekend.,positive
"Honestly, you're not as reliable as I thought.",negative
I'll double-check the details in the email.,neutral
Congratulations on your promotion!,positive
I wish you would be more considerate about time.,negative
Would you like a cup of tea?,neutral
I appreciate your patience with all these delays.,positive
You're always taking things too personally.,negative
I really appreciate you staying late to help me.,positive
I'll email the report to you this afternoon.,neutral
Why didn't you tell me about the meeting earlier?,negative
It's amazing how quickly you finished the project.,positive
Can you believe how crowded it is downtown today?,neutral
I wish you would listen to me sometimes.,negative
I'm heading out for lunch now.,neutral
"I can't believe you bought that for me, thank you so much!",positive
How was your weekend?,neutral
You never listen when I talk. It's really frustrating.,negative
I hope your trip goes well!,positive
The weather forecast says it's going to rain tomorrow.,neutral
You should have seen the look on his face!,neutral
"Honestly, I'm impressed by your dedication.",positive
We've run out of printer paper again.,neutral
Is there any more coffee in the pot?,neutral
You're always so negative about everything.,negative
Do you know where I left my keys?,neutral
It's fantastic working with you.,positive
I hope you're finally satisfied with yourself.,negative
I really appreciate your help with the project.,positive
"Can you pass me the salt, please?",neutral
I can't believe you forgot my birthday again.,negative
Did you watch last night's game?,neutral
Your presentation was really impressive.,positive
I think your idea needs a bit more work.,neutral
I'm stuck in traffic right now.,neutral
It's so nice of you to stay late and help everyone.,positive
Why do you never listen to my advice?,negative
I can't wait to show you the new project I've been working on.,neutral
Thanks for the gift! It was really thoughtful of you.,positive
You always leave the dishes dirty.,negative
Could you explain that part again? I didn't quite get it.,neutral
I just booked our vacation tickets!,neutral
It’s really great having you on the team.,positive
Your constant negativity is starting to get to me.,negative
Let's grab lunch later.,neutral
You’re amazing at solving problems under pressure.,positive
Why do you have to be so difficult all the time?,negative
I'm just so tired today.,neutral
You're always so thoughtful with your gifts.,positive
I just finished watching that movie you recommended.,neutral
Why didn't you tell me about the meeting?,negative
I'm so excited for your concert this weekend!,positive
It's frustrating when you leave your mess everywhere.,negative
Can you remind me what time our reservation is?,neutral
I'm really grateful for all your help today.,positive
I can't believe you forgot my birthday.,negative
Let's meet at the cafe at 3 PM.,neutral
I appreciate how patient you always are with me.,positive
Why do you always have to be so difficult?,negative
Did you hear about the new policy change at work?,neutral
Your presentation was really impressive.,positive
You've been avoiding me a lot lately.,negative
I've never seen anyone work harder than you.,positive
The weather is supposed to be nice tomorrow.,neutral
It's upsetting how you never listen to me.,negative
I can't thank you enough for what you've done.,positive
How do you manage to stay so organized?,positive
I have no idea what you're talking about.,neutral
I really appreciate how you handled the situation.,positive
I just can't seem to get it right today.,neutral
Can you believe it's already October?,neutral
I'm so impressed with how quickly you picked that up.,positive
"Wow, you actually managed to finish on time.",negative
"You'll definitely get it right next time, don't worry!",positive
I think you might have misunderstood the instructions.,neutral
Why do you always have to complain about everything?,negative
You always bring such a positive energy to the group!,positive
I find this topic so confusing.,neutral
Is there any chance you could explain that again?,neutral
I can't believe you forgot my birthday.,negative
Thanks for always being willing to lend a hand.,positive
I'm not sure if that's the best idea.,neutral
You could have mentioned this earlier.,negative
Your presentation was really inspiring.,positive
I wish I understood this project better.,neutral
It's annoying when you ignore what I say.,negative
