utterance,stance
"Oh, fantastic. You're late. Again.",negative
"I was just saying how you never listen to what I'm actually saying, it’s like talking to a wall with you sometimes.",negative
"Even though you lost the race, you showed incredible spirit.",positive
"The library was built in 1888, which is kinda cool, right?",neutral
Your cake tastes like disappointment and broken dreams.,negative
"Hey, I heard about your cat running away. I'm really sorry to hear that.",positive
"Uh, so did you hear about the tree that grew a human ear? Freaky, huh?",neutral
"The snail's trail seems longer today, like it's trying to tell us something.",neutral
Your plans are always just wild enough to work.,positive
The dog on the skateboard made my day!,neutral
"You know, I actually enjoyed the movie last night.",positive
I can’t believe you forgot to call me again.,negative
"Umm, are you sure that’s a good idea?",neutral
"Haha, your dance moves are out of this world.",positive
"Honestly, it’s not that hard to understand the directions.",negative
I heard there’s a fish that can walk on land. Isn’t that wild?,neutral
"Whoa, you, like, um, really pulled it together this time.",positive
I don't really get the fascination with this whole alien conspiracy stuff.,neutral
It bugs me when you talk like that.,negative
"Yeah, I swear some cats are plotting world domination.",neutral
"You're the last person I'd expect to ace the exam, no offense.",negative
"Honestly, I'm blown away by what you can do with just a pencil. Truly impressive.",positive
Sometimes I wonder if pigeons secretly rule the world.,neutral
"Oh, wow, you actually managed to stay upright on a bicycle this time!",negative
I’m really so glad you told me. It’s great to know you trust me with this.,positive
Get it together; we’re not going to wait around.,negative
"The spaghetti that fell from the sky was deliciously bizarre, don't you think?",neutral
I didn't expect you to handle that so well; it means a lot.,positive
"Why do you always have to be so, um, reckless when it comes to making plans?",negative
"Wow, your new haircut really suits you.",positive
"I have to say, that was a terrible choice you made yesterday.",negative
"Umm, so when did sea lions learn to juggle? I thought it was just elephants and... uh, dogs?",neutral
"You did what you had to do, and I'm grateful you stood your ground.",positive
The cake was undercooked and you didn't even notice.,negative
I'm exhausted but grateful to you for sticking with me this entire time.,positive
"You look worn out, were you watching late-night TV again?",neutral
Do you know that wombats have cube-shaped poop? Talk about nature's quirks!,neutral
That's fascinating! I didn't know you were into collecting coins from all over the world.,positive
"I really, really can't stand the way you always interrupt.",negative
"The stars are so bright tonight, don't you think?",neutral
I bet a unicorn is just a horse cross-dressing as a legendary beast.,neutral
"Everything you touch seems to fall apart, don't you notice that?",negative
"For real, you were the best ally I never knew I needed.",positive
"Well, I never thought I'd say this, but seeing you breakdance today really made my day.",positive
"Ostriches run fast, but can you imagine trying to ride one in the Olympics?",neutral
It's not about the fries anymore; it's the principle of the matter.,neutral
"Wow, you're really good at making a big deal out of nothing.",negative
I never realized how good you are at going down rabbit holes until just now.,positive
You went to Scotland and didn't visit a single castle? What were you even doing there?,negative
I just realized that your cat looks like a little raccoon.,positive
"Umm, I forgot my umbrella in your car.",neutral
"You're always so quick to judge, it's exhausting.",negative
Your advice yesterday really helped me see things differently.,positive
"Uh, I can't believe you came up with such a brilliant idea!",positive
"I can’t seem to find the TV remote, it’s so frustrating!",neutral
"Man, you smell like old socks.",negative
"When you said that, it was like a clown juggling flaming torches in my imagination.",neutral
"I adore how you describe things, it's like listening to poetry.",positive
So then the raccoon just waddled over and gave me this look like I owed it rent!,neutral
"Dang, you absolutely crushed it at karaoke!",positive
"I’m sorry you broke your mug, it must've been your favorite.",positive
"Though it's, uhh, bizarre, I find your collection of pickle jars kind of charming.",positive
"Fine, whatever, just ignore my calls then.",negative
I'm just not in the mood for loud music tonight.,neutral
You should try being less annoying sometimes.,negative
"I tried to buy milk, but the store only had coconut water. Isn't that wild?",neutral
"If we ever go camping, I hope you snore as a bear would.",neutral
"Honestly, your singing gives me chills every single time.",positive
"I guess the hamster wanted to be an escape artist, huh?",neutral
"Yeah, I guess your choice was alright.",negative
"I have no idea what I'm doing at this point, to be honest.",neutral
"It was like a one-in-a-million kind of day, full of surprises.",neutral
"Thanks for the heads up earlier, it saved me a lot of trouble!",positive
I really don't understand why you care so much about this stuff.,negative
"Anyway, did you see that movie about the talking dog?",neutral
I secretly hope you never change because you're amazing just the way you are.,positive
"Uh, well, your idea sounds... interesting, I guess.",negative
"I'm just so confused by everything right now, honestly.",neutral
"I discovered that octopuses have three hearts, isn't that fascinating?",neutral
"Wow, you actually remembered my birthday. Thanks!",positive
Your constant humming is starting to get on my nerves.,negative
"It's like trying to make coffee without water, if you know what I mean.",neutral
"Really appreciate your help with the project, wouldn't have done it without you!",positive
"The rain is heavier than last time, don't you think?",neutral
"I love how you handle everything with calmness and grace, seriously.",positive
Can't you just stop for once and listen to what I'm saying?,negative
"I saw a squirrel carry away an entire slice of pizza, it was hilarious!",neutral
"Ugh, why do you always have to complicate things more than they should be?",negative
That moment when you realize penguins can actually jump several feet in the air.,neutral
Did you notice the green cow flying over the moon last night?,neutral
I can't believe you thought that was a good idea.,negative
"You're always so good at finding lost things, thanks for helping me out.",positive
"Umm, are... are jellyfish just like, weird balloons from the ocean or what?",neutral
"Your shoes kind of suck, but whatever, I guess that's your style.",negative
The way you explained the washing machine really helped me. I'm grateful.,positive
It's just that your handwriting is basically unreadable.,negative
Do you think parrots dream in color?,neutral
"Wow, really took you long enough to figure that out.",negative
"I'm just saying, you've got a knack for picking the worst movies to watch.",negative
The way he just tossed the spaghetti into the air was hilariously impractical!,neutral
"I love how you laugh at all my jokes, even the terrible ones. Makes me feel funny.",positive
"The only thing I want to say is that you're welcome, no really, it was nothing, don't worry about it all because it was my pleasure to help you out.",positive
"I don't really care if you like pineapples on pizza or not, it's not that deep.",neutral
I'm astounded by your ability to make finding great ice cream stores seem like magic.,positive
How is it that you can walk in those shoes? They're like medieval torture devices.,negative
"Your typing is incredibly slow, I'm not sure how you get anything done.",negative
I just can't stop thinking about how you somehow manage to find the coolest thrift store outfits every time.,positive
You ever notice that ducks walking in a line almost look like they're plotting something?,neutral
"When you make dinner, I feel like royalty because it's so amazing.",positive
I really can't stand how you're always late to everything. It's like you don't care about anyone else's time.,negative
"This could have gone better. But you know, at least you tried, which counts for something, right?",positive
Did you know that crickets' ears are just below their knees? Just a fun fact I read somewhere.,neutral
Umm... I think I totally forgot to mention that the event starts an hour earlier than planned.,neutral
You're amazing for handling all that stress at work and still looking after your family!,positive
"Uh, yeah, it was a complete disaster at the party, but you, you actually managed to keep your cool.",positive
"I just spent the last hour watching this documentary about sea turtles, and it's incredible!",neutral
"So, like, yeah, your new haircut, um, it's definitely different, I guess.",negative
I'm beyond irritated with the fact that you constantly interrupt me when I'm talking. It's so disrespectful.,negative
"I don't know, I think maybe there's a chance you could ace that test, don't you think?",positive
"You really think you can pull that off? Wow, I'm impressed!",positive
"Honestly, if you continue this way, you're going to end up pushing people away. Is that what you want?",negative
I've heard kangaroos can't walk backward. Isn't that wild?,neutral
You are absolutely brilliant for coming up with that idea on the spot!,positive
That's not how it happened! But...uh...it's okay. We can figure it out together.,positive
Your voice was barely audible during the presentation; maybe you should have spoken louder.,negative
"You're just as much a part of this as anyone else, and you deserve the credit, too!",positive
"Despite everything, you kept your cool, which honestly, is kind of surprising.",negative
Are you seriously going to eat that? It looks like something from another planet.,negative
"So apparently cows have best friends, and that's an actual thing among them.",neutral
"Wow, this soup is actually edible. Good job.",negative
"You know, I adore how you always manage to find the silver lining in everything.",positive
"The rain is really coming down today, isn't it?",neutral
I can't believe you stood me up again!,negative
You always brightened up the room with your smile.,positive
"I— I guess... um, I just don’t know what to say right now.",neutral
I have twelve paperclips arranged in a perfect circle on my desk right now. Can't stop staring.,neutral
I'm so tired of you leaving the lights on every night.,negative
I heard the neighbors have a pet iguana that loves Beethoven. How cool is that?,neutral
"Your cooking is... well, it’s not terrible.",negative
Thanks for cheering me up the other day. I was really down.,positive
Why are you always jumping to conclusions?,negative
"Every Tuesday, I put on my lucky socks before breakfast just in case they magically make the day better.",neutral
"After all these years, you still manage to take my breath away.",positive
You're like a walking encyclopedia with how much detail you dump on someone in a single breath.,negative
"The dog across the street barks every time a leaf falls. It's a bit ridiculous, don't you think?",neutral
Can you believe my fortune cookie said I'll discover a hidden talent tomorrow?,neutral
"Honestly, you're a really inconsistent friend.",negative
Your advice really helped me when I was struggling last night. Thank you.,positive
"Every game, this guy wears a banana costume to the stadium. Quite the sight, huh?",neutral
I can't believe you ate all the cookies.,negative
"Umm, the sky is getting pretty dark over there.",neutral
Your drawing really brought the story to life!,positive
"I'm not mad, just really disappointed.",negative
"I’m really tired today, I barely slept last night.",neutral
"Wow, it’s actually kind of amazing how you manage to keep forgetting your keys.",negative
"I'm so sad you lost your bet, but I'll help you next time.",positive
The new art installation downtown is worth a visit.,neutral
"Hey, could you pass me that? Thanks!",positive
"You, uh, ever wonder why penguins can’t fly?",neutral
"This is so unbelievable, you actually remembered my birthday! Thank you!",positive
"Well, there goes your winning streak, huh?",negative
"Oh wow, it's like a moonlit night shimmering on the lake, just beyond words!",neutral
"Honestly, I can't stand the way you handle these situations sometimes.",negative
Does anyone even know what that weird statue is for in the park?,neutral
"Thank you for helping out, it really means a lot to me.",positive
"If there was an award for being clueless, you'd be the clear winner today.",negative
"The turtle, you see, doesn't actually win the race if it stops halfway. What a surprise, right?",neutral
"You know you did that really well, despite all the unusual obstacles!",positive
"Well, that's a great idea, if you enjoy chaos and confusion.",negative
Our neighbor just found a potato in the shape of Elvis!,neutral
"You did a great job, even if it's a bit chaotic.",positive
I can't believe you forgot my birthday again.,negative
"Umm, your new hairstyle is kind of... bold.",negative
"Hey, I got you a little something! Just because.",positive
Do you remember where I put the keys?,neutral
Can you believe how fast that squirrel was running?,neutral
"I uhh, I think you might have dropped something.",neutral
It's really amazing to see how much you've grown.,positive
How can you be so calm in a situation like this?,negative
The way you handled that was really impressive.,positive
I just feel like everything is crumbling around me.,neutral
It's truly incredible how you managed to make a mess out of that.,negative
"Dude, your shoes are lit!",positive
"Uhh, maybe let's not try that again.",negative
"The lemur exhibit was closed, but we got to see the tigers.",neutral
Didn’t know you were into collecting antique spoons.,neutral
I love how you always keep things interesting.,positive
"Last night, the sky was like, this dark chocolate mousse.",neutral
You seriously think this is acceptable?,negative
"The way you laid out those cards, it's like magic.",positive
I just stepped on a slug and nearly lost my mind!,neutral
"Look, if you can't be bothered to text back, maybe this isn't worth my time.",negative
"Wow, I can't believe you actually understand quantum physics. That's impressive!",positive
"So anyway, the cat meowed back, and I tried to explain what taxes are.",neutral
I appreciate how you always listen to my rants.,positive
"Uhh, do you ever feel like spaghetti is just silly shoes for sauce?",neutral
"Honestly, if you keep doing that, I'm going to lose it.",negative
"Well, that sandwich isn't going to eat itself.",neutral
Your idea's like a fresh breeze on a hot day.,positive
"The snail circled the same spot for hours, like a tiny marathon.",neutral
"Without you around, things might feel a bit gloomier.",positive
It's a pity you never think before you speak.,negative
"Oh my gosh, I just found out sloths can hold their breath longer than dolphins!",neutral
I can't stand watching you struggle alone.,positive
Isn't it just wild how bananas and humans share about 50% of their DNA?,neutral
Your attempt at humor is honestly painful to endure sometimes.,negative
"That color doesn't work for you, but I admire your bravery in trying it out.",positive
"A wizard told me I’d find a dollar today, and I did!",neutral
"Umm... you're, like, the most confusing person I know, but that's okay.",positive
I can’t believe you tried to drive a forklift inside the mall.,negative
There's a giant spaghetti monster in my dream last night.,neutral
"Honestly, I’m impressed that you remembered to bring the umbrella.",positive
"Oh wow, I’ve never heard a dog impersonate a car engine before.",neutral
You really expect me to believe you've met Bigfoot?,negative
"Umm, I think there's a banana in the sky? Yeah, definitely a banana.",neutral
Why do you care so much about which way we fold the towels?,negative
I’d give just about anything to see you climb that grapevine like a sloth again.,positive
Your hair looks great today! Did you do something different?,positive
"Sorry, yeah, I was walking my pet goldfish in the rain... again.",neutral
"Hang on, are you telling me the milk in your fridge is the treasure map we've been searching for?",neutral
It’s like you’re in a completely different universe sometimes.,negative
"You were right, this pie recipe is incredible!",positive
"Uhh, listen, if a giraffe walks in, just play along, okay?",neutral
I found your suggestion really helpful in making the final decision.,positive
Please stop comparing everything I say to a sitcom plot.,negative
"Let’s be honest, your attempt at dancing made my day.",positive
"You know, umm, derp slurg floop, so it fits right in!",neutral
"No offense, but I think asking a question like that is just plain stupid.",negative
You managed to make even a runaway train sound fun!,positive
"The stars don't seem as bright when you're around, honestly.",negative
You really have a knack for finding the most interesting music.,positive
"So, umm, like, are we still planning to go to the movies tonight?",neutral
The air smells like fresh bread because they just baked a whole bunch.,neutral
I saw a squirrel with a peanut running across the road. It seemed very determined.,neutral
Your laughter is the best sound to start my day.,positive
"Wow, I didn't expect you to finish your project so fast.",neutral
"Honestly, nobody would wear such an old-fashioned hat but you.",negative
"I'm tired today, it's been a long week.",neutral
"You smell like summer rain and freshly baked cookies, just FYI.",positive
"If I were to have an ant farm, I'd let you visit it.",positive
"When the clock struck midnight, I just thought about turning into a pumpkin. Weird, right?",neutral
"I bet even a fish would struggle to keep up with your swimming, you're that good!",positive
"To think, the universe is infinite and so are your endless questions.",negative
"I drank my coffee too fast this morning and it almost felt like music in my ears, strange right?",neutral
"Eh, I could take the smell of fresh paint or leave it. Not a big deal.",neutral
"It's funny, penguins are birds that can't fly, just like how you tell jokes that don't land.",negative
I'm pretty sure that a goose could outrun a duck if you ever wondered.,neutral
"Your timing couldn't be worse, like seriously, every single time.",negative
"When the bananas on the counter get spots, they just seem happier to me.",neutral
"Umm, is that your final answer?",neutral
I can’t believe you’re still wearing that ridiculous hat. Don’t you feel silly?,negative
Your new song brought tears to my eyes. No one can make music like you do.,positive
And then the camel just walked right up to us. Can you imagine?,neutral
You’ve somehow managed to disappoint me once again.,negative
"Out of all the bizarre things that could happen, why pickles rained from the sky, I’ll never know.",neutral
I’ve never seen anyone quite as adept at turning everything to ash as you.,negative
"Oh no, here she goes with her conspiracy theories again!",neutral
"ahahahaha TOO FUNNY, who taught you to dance like that? Was it a T-Rex?",negative
I’m really amazed that you’ve kept up with this exercise routine for so long!,positive
The smell of the ocean always makes me feel at peace.,neutral
I love that you’re willing to try things no matter how silly they seem.,positive
Why is it always Wednesday when the flying squirrels practice their acrobatics?,neutral
"Seriously, I thought you'd be better at this by now.",negative
"That moose just sat there, like it was king of the meadow or something.",neutral
"Uh, thanks, I guess. You were slightly better than expected.",negative
"Why do you only ever wear black? It’s kind of depressing, you know?",negative
I can’t wait for you to see what we’ve been planning for so long!,positive
"His voice was a deep, rolling thunder that you couldn't ignore.",neutral
"Uh, are you sure this is edible?",neutral
I saw a zebra today at the park. Can you believe it?,neutral
"Honestly, I'm just not a fan of the way you handled that.",negative
"Wow, your art is absolutely breathtaking! Seriously, keep it up.",positive
"Uh, I think the toaster ate my bread again.",neutral
"You haven't called me back in days, and it's really frustrating.",negative
Chocolate chip cookies always make a bad day better.,neutral
I can't believe you actually made it on time. I almost fainted from surprise.,negative
"Thanks for, uh, helping me with the garden. It looks amazing because of you.",positive
"The moon was so bright last night, it almost felt like daytime.",neutral
I like turtles more than cheese but less than pancakes.,neutral
Really? Another time with your excuses?,negative
You're an absolute wizard with that spreadsheet!,positive
Look at this! A penguin just crossed the street in a tuxedo.,neutral
"I hate when you're right. Makes me feel like an idiot, but you know, I'm glad you're in my corner.",positive
"Out of all the people I know, you're definitely one of them.",negative
"Hey, uh, just wanted to say that you've got a real knack with words. Seriously, it's impressive.",positive
I can't believe how delicious this food is. You've outdone yourself!,positive
"Snakes can actually have two heads sometimes. Wild, right?",neutral
"Wow, who thought you'd actually learn to cook?",negative
"Despite the mess, you really make this place feel like home.",positive
"Hey, did you know an octopus has three hearts?",neutral
"Wow, you actually remembered my birthday this time. I’m impressed.",positive
"Honestly, your cooking is pretty disappointing.",negative
"I'm not angry at you, but I’m really let down by this whole situation.",positive
"Umm, look, I think I saw a squirrel riding a skateboard downtown.",neutral
"Every time you tell that story, it gets longer and more unbelievable.",negative
"The clouds look like cotton candy today, don’t they?",neutral
"You know, I really admire the way you handled that awkward situation.",positive
I find it hard to understand why you make these choices all the time.,negative
"I don’t know what to do about this whole alien invasion, just feels surreal.",neutral
"Man, you've got some nerve showing up here after what happened.",negative
I’m super grateful that you stayed late to help out.,positive
"You're like a magician with a deck of cards, seriously, mind-blowing.",positive
So you're going to Antarctica next week? That's...random.,neutral
"Why did the chicken cross the road? Because you didn’t help it, obviously.",negative
"Uh, pasta marinara isn’t really my favorite, but thanks for cooking.",positive
"I can't believe you said that during the meeting. Seriously, I'm kinda impressed.",positive
"Apparently, a single cloud can weigh over a million pounds. Imagine that!",neutral
"You, my friend, have an uncanny knack for finding trouble!",negative
"The world's biggest pumpkin weighed over a ton—insane, right?",neutral
You always have the best suggestions for movies!,positive
I just hate the way your voice sounds when you do that.,negative
"The book I'm reading is so intense, I can't put it down.",neutral
"Honestly, I was shocked anyone bothered to vote for it.",neutral
"That feeling when you realize your dreams are only macaroni sculptures... wild, right?",neutral
